File Number,Date Reported,Year Reported,Month Reported,Housing Block,Street Name,Date Notice Mailed or Given,Type of Complaint,Disposition,File Close Date,Method Submitted,Submitted Online?,Total Fees,Mapped Location
24-001878,06/21/2024,2024,6,100 Block,West Mumford Drive,,,Unfounded,06/24/2024,Internet,true,0,"100 West Mumford Drive
Urbana, IL
(40.09413, -88.20849)"
23-003307,11/04/2023,2023,11,300 Block,North Coler Avenue,,,Unfounded,11/06/2023,Internet,true,0,"300 North Coler Avenue
Urbana, IL
(40.11425, -88.21578)"
23-001241,05/11/2023,2023,5,900 Block,South Rainbow View,05/11/2023,Weeds/Grass,Voluntarily Complied,08/30/2023,Phone,false,0,"900 South Rainbow View
Urbana, IL
(40.10555, -88.18474)"
22-002313,07/20/2022,2022,7,1200 Block,"""block E Willard (dead end)""",,,Unfounded,07/20/2022,Internet,true,0,
22-001582,06/01/2022,2022,6,700 Block,North Broadway Avenue,06/01/2022,Weeds/Grass,City Abated,10/04/2022,Phone,false,324.5,"700 North Broadway Avenue
Urbana, IL
(40.119, -88.20758)"
22-000450,03/05/2022,2022,3,600 Block,South Anderson Street,,,City Abated,03/07/2022,Internet,true,0,"600 South Anderson Street
Urbana, IL
(40.1084, -88.20024)"
,02/02/2022,2022,2,900 Block,South Lynn Street,,,,,Internet,true,0,"900 South Lynn Street
Urbana, IL
(40.10554, -88.19788)"
22-000180,01/31/2022,2022,1,1000 Block,North Berkley Avenue,01/31/2022,Municipal Waste,City Abated,05/10/2022,Phone,false,948,"1000 North Berkley Avenue
Urbana, IL
(40.12208, -88.20645)"
21-000772,04/18/2021,2021,4,1000 Block,East Washington Street,,,,,Internet,true,0,"1000 East Washington Street
Urbana, IL
(40.10568, -88.19643)"
20-000640,04/30/2020,2020,4,1200 Block,South Smith Road,04/30/2020,Weeds/Grass,Voluntarily Complied,05/15/2020,Phone,false,0,
19-001194,06/14/2019,2019,6,700 Block,East Green Street,06/14/2019,Weeds/Grass,Voluntarily Complied,06/24/2019,Phone,false,0,"700 East Green Street
Urbana, IL
(40.11087, -88.20012)"
19-001136,06/09/2019,2019,6,900 Block,East Scovill Street,,,Unfounded,06/13/2019,Internet,true,0,"900 East Scovill Street
Urbana, IL
(40.08541, -88.19753)"
19-000930,05/16/2019,2019,5,2100 Block,Burlison Dr,,,City Abated,05/17/2019,Internet,true,0,"2100 Burlison Dr
Urbana, IL
(40.09084, -88.20544)"
1606056,06/16/2016,2016,6,100 BLOCK,E George Huff Dr,,Weeds/Grass,,,Not Available,false,0,"100 E George Huff Dr
Urbana, IL
(40.09094, -88.20686)"
1507021,07/17/2015,2015,7,800 BLOCK,E Main St,07/17/2015,Weeds/Grass,Owner Abated,07/25/2015,Not Available,false,0,"800 E Main St
Urbana, IL
(40.11298, -88.19903)"
1506019,06/05/2015,2015,6,0 BLOCK,Squire Ct.,06/05/2015,Weeds/Grass,City Abated,06/13/2015,Not Available,false,0,
1408013,08/07/2014,2014,8,0 BLOCK,Squire Ct.,08/07/2014,Weeds/Grass,City Abated,08/15/2014,Not Available,false,0,
1108015,08/04/2011,2011,8,0 BLOCK,Buena Vista Ct,08/05/2011,Municipal Waste,Owner Abated,08/13/2011,Not Available,false,0,
1106048,06/15/2011,2011,6,0 BLOCK,Weaver Pl,06/16/2011,Weeds/Grass,City Abated,06/24/2011,Not Available,false,0,
1106004,06/01/2011,2011,6,0 BLOCK,Shuman Cir,06/02/2011,Municipal Waste,Owner Abated,06/10/2011,Not Available,false,0,
1010001,10/01/2010,2010,10,600 BLOCK,W High St,10/01/2010,Municipal Waste,Owner Abated,10/09/2010,Not Available,false,0,"600 W High St
Urbana, IL
(40.10985, -88.21471)"
1006069,06/11/2010,2010,6,800 BLOCK,S Vine St,,Weeds/Grass,Invalid,,Not Available,false,0,"800 S Vine St
Urbana, IL
(40.10646, -88.20496)"
908012,08/05/2009,2009,8,1200 BLOCK,W Eads St,08/06/2009,Weeds/Grass,City Abated,08/14/2009,Not Available,false,0,"1200 W Eads St
Urbana, IL
(40.12313, -88.22435)"
906025,06/09/2009,2009,6,3000 BLOCK,E Windsor Rd,,Weeds/Grass,Invalid,,Not Available,false,0,"3000 E Windsor Rd
Urbana, IL
(40.0839, -88.17298)"
706044,06/15/2007,2007,6,600 BLOCK,S Busey Av,06/15/2007,Weeds/Grass,Owner Abated,06/23/2007,Not Available,false,0,"600 S Busey Av
Urbana, IL
(40.10814, -88.21769)"
706005,06/04/2007,2007,6,0 BLOCK,Shuman Cir,,Weeds/Grass,Invalid,,Not Available,false,0,
703003,03/05/2007,2007,3,800 BLOCK,W Iowa St,,Municipal Waste,Invalid,,Not Available,false,0,"800 W Iowa St
Urbana, IL
(40.10466, -88.21781)"
605119,05/22/2006,2006,5,0 BLOCK,Penn Ct,,Municipal Waste,Owner Abated,,Not Available,false,0,
509015,09/06/2005,2005,9,0 BLOCK,Florida Dr,,Weeds/Grass,Owner Abated,,Not Available,false,0,
508112,08/26/2005,2005,8,0 BLOCK,Rainbow View Ct,,Weeds/Grass,Owner Abated,,Not Available,false,0,
507035,07/20/2005,2005,7,1500 BLOCK,Harvey St,,Municipal Waste,Invalid,,Not Available,false,0,
408042,08/10/2004,2004,8,0 BLOCK,Hill St Ct,,Weeds/Grass,Owner Abated,,Not Available,false,0,
310020,10/09/2003,2003,10,0 BLOCK,Squire Ct.,,Municipal Waste,Owner Abated,,Not Available,false,0,
22-001242,05/16/2022,2022,5,700 Block,East Elm Street,05/16/2022,Weeds/Grass,Voluntarily Complied,05/24/2022,Phone,false,0,"700 East Elm Street
Urbana, IL
(40.11179, -88.20033)"
1005021,05/05/2010,2010,5,1500 BLOCK,S Smith Rd,05/06/2010,Weeds/Grass,Owner Abated,05/14/2010,Not Available,false,0,"1500 S Smith Rd
Urbana, IL
(40.09996, -88.17604)"
24-000903,04/10/2024,2024,4,900 Block,South Rainbow View,04/10/2024,Weeds/Grass,Voluntarily Complied,04/18/2024,Phone,false,0,"900 South Rainbow View
Urbana, IL
(40.10555, -88.18474)"
